     x_i,      y_i
  0.0000,   1.0000
  0.0500,   1.0500
  0.1000,   1.1025
  0.1500,   1.1576
  0.2000,   1.2155
  0.2500,   1.2763
  0.3000,   1.3401
  0.3500,   1.4071
  0.4000,   1.4775
  0.4500,   1.5513
  0.5000,   1.6289
  0.5500,   1.7103
  0.6000,   1.7959
  0.6500,   1.8856
  0.7000,   1.9799
  0.7500,   2.0789
  0.8000,   2.1829
  0.8500,   2.2920
  0.9000,   2.4066
  0.9500,   2.5270
  1.0000,   2.6533
  1.0500,   2.7860
  1.1000,   2.9253
  1.1500,   3.0715
  1.2000,   3.2251
  1.2500,   3.3864
  1.3000,   3.5557
  1.3500,   3.7335
  1.4000,   3.9201
  1.4500,   4.1161
  1.5000,   4.3219
  1.5500,   4.5380
  1.6000,   4.7649
  1.6500,   5.0032
  1.7000,   5.2533
  1.7500,   5.5160
  1.8000,   5.7918
  1.8500,   6.0814
  1.9000,   6.3855
  1.9500,   6.7048
  2.0000,   7.0400
  2.0500,   7.3920
  2.1000,   7.7616
  2.1500,   8.1497
  2.2000,   8.5572
  2.2500,   8.9850
  2.3000,   9.4343
  2.3500,   9.9060
  2.4000,  10.4013
  2.4500,  10.9213
  2.5000,  11.4674
  2.5500,  12.0408
  2.6000,  12.6428
  2.6500,  13.2749
  2.7000,  13.9387
  2.7500,  14.6356
  2.8000,  15.3674
  2.8500,  16.1358
  2.9000,  16.9426
  2.9500,  17.7897
  3.0000,  18.6792
  3.0500,  19.6131
  3.1000,  20.5938
  3.1500,  21.6235
  3.2000,  22.7047
  3.2500,  23.8399
  3.3000,  25.0319
  3.3500,  26.2835
  3.4000,  27.5977
  3.4500,  28.9775
  3.5000,  30.4264
  3.5500,  31.9477
  3.6000,  33.5451
  3.6500,  35.2224
  3.7000,  36.9835
  3.7500,  38.8327
  3.8000,  40.7743
  3.8500,  42.8130
  3.9000,  44.9537
  3.9500,  47.2014
  4.0000,  49.5614
  4.0500,  52.0395
  4.1000,  54.6415
  4.1500,  57.3736
  4.2000,  60.2422
  4.2500,  63.2544
  4.3000,  66.4171
  4.3500,  69.7379
  4.4000,  73.2248
  4.4500,  76.8861
  4.5000,  80.7304
  4.5500,  84.7669
  4.6000,  89.0052
  4.6500,  93.4555
  4.7000,  98.1283
  4.7500, 103.0347
  4.8000, 108.1864
  4.8500, 113.5957
  4.9000, 119.2755
  4.9500, 125.2393
  5.0000, 131.5013
