x_i, y_i
0.0, 1.0
0.25, 1.25
0.5, 1.5625
0.75, 1.953125
1.0, 2.44140625
1.25, 3.0517578125
1.5, 3.814697265625
1.75, 4.76837158203125
2.0, 5.9604644775390625
2.25, 7.450580596923828
2.5, 9.313225746154785
2.75, 11.641532182693481
3.0, 14.551915228366852
3.25, 18.189894035458565
3.5, 22.737367544323206
3.75, 28.421709430404007
4.0, 35.52713678800501
4.25, 44.40892098500626
4.5, 55.51115123125783
4.75, 69.38893903907228
5.0, 86.73617379884035
